0, 0.785, -0.785, 1.74444, 0, -0.959444, 1.57, 0, 0.220011, 1.40369
0.159532, 0.783102, -0.863824, 1.7446, 0.00982803, -1.02347, 1.63917, 0, 0.368638, 1.3958
0.319065, 0.771512, -1.03467, 1.71868, 0.0301145, -1.12828, 1.83934, 0, 0.699625, 1.34072
0.478596, 0.742643, -1.19117, 1.63521, 0.0384601, -1.17754, 2.13529, 0, 1.03753, 1.2342
0.63813, 0.691304, -1.2962, 1.5054, 0.00180379, -1.15478, 2.45388, 0, 1.31506, 1.11
0.797661, 0.608375, -1.36615, 1.36467, -0.111079, -1.04551, 2.70809, 0, 1.52142, 0.989427
0.957192, 0.486578, -1.42116, 1.23769, -0.308392, -0.847414, 2.82504, 0, 1.65625, 0.867768
1.11673, 0.328924, -1.46706, 1.12989, -0.568117, -0.586002, 2.76958, 0, 1.72843, 0.707576
1.27626, 0.149572, -1.49924, 1.04405, -0.831034, -0.308064, 2.5553, 0, 1.76297, 0.470707
1.43579, -0.03608, -1.51473, 0.989105, -1.03916, -0.0517884, 2.23999, 0, 1.77496, 0.179937
1.59532, -0.221729, -1.51943, 0.981231, -1.17162, 0.133606, 1.90015, 0, 1.75749, -0.10223
1.75485, -0.404762, -1.52438, 1.03923, -1.22487, 0.183402, 1.59817, 0, 1.69978, -0.333388
1.91439, -0.573406, -1.52879, 1.1601, -1.19999, 0.0853032, 1.37626, 0, 1.5919, -0.512022
2.07392, -0.688072, -1.51842, 1.31986, -1.11701, -0.13862, 1.25161, 0, 1.43624, -0.613754
2.23345, -0.735637, -1.47937, 1.49884, -1.00077, -0.421712, 1.21337, 0, 1.24044, -0.639203
2.39298, -0.731378, -1.40034, 1.68446, -0.84462, -0.704625, 1.25006, 0, 1.01287, -0.620464
2.47143, -0.706357, -1.34874, 1.77572, -0.747173, -0.84215, 1.29706, 0, 0.897894, -0.590658
2.54987, -0.660417, -1.29845, 1.86703, -0.632958, -0.972083, 1.36585, 0, 0.790916, -0.540324
2.62831, -0.595463, -1.25204, 1.95509, -0.503461, -1.08557, 1.45698, 0, 0.692445, -0.474756
2.70676, -0.517252, -1.20593, 2.03387, -0.366175, -1.17559, 1.56776, 0, 0.596814, -0.401734
2.7852, -0.430939, -1.15703, 2.09886, -0.227465, -1.24012, 1.69094, 0, 0.500707, -0.324969
2.86364, -0.341477, -1.10196, 2.14734, -0.0957178, -1.28144, 1.81565, 0, 0.40207, -0.245856
2.94208, -0.253616, -1.03723, 2.17787, 0.0172768, -1.30376, 1.92704, 0, 0.299562, -0.164336
3.02052, -0.171585, -0.961398, 2.19052, 0.0994679, -1.31326, 2.00786, 0, 0.194357, -0.0801288
3.09897, -0.0999921, -0.878926, 2.18779, 0.143066, -1.31711, 2.04477, 0, 0.0927625, 0.00403971
3.17742, -0.0446691, -0.803859, 2.17672, 0.150372, -1.32078, 2.03172, 0, 0.00807659, 0.0792581
3.25584, -0.0109299, -0.75499, 2.16761, 0.130456, -1.33035, 1.96866, 0, -0.0423401, 0.134614
3.33429, 0.00210577, -0.741293, 2.16705, 0.0940191, -1.34877, 1.86185, 0, -0.0511211, 0.167487
3.41274, 0.00318473, -0.749528, 2.17201, 0.0512647, -1.37047, 1.73171, 0, -0.0350765, 0.186371
3.49119, 0.00110189, -0.758734, 2.17599, 0.0147818, -1.38731, 1.61727, 0, -0.0192775, 0.19844
3.56964, -1.96e-18, -0.761586, 2.17715, -4.91e-17, -1.39358, 1.57, 0, -0.0139142, 0.203
