0, 0, 0, 10
0.01, -0.0991902, -0.0497972, 9.99951
0.02, -0.196771, -0.0991902, 9.99804
0.03, -0.292759, -0.148181, 9.99559
0.04, -0.387169, -0.196771, 9.99215
0.05, -0.480015, -0.244964, 9.98774
0.06, -0.571313, -0.292759, 9.98235
0.07, -0.661075, -0.34016, 9.97598
0.08, -0.749317, -0.387169, 9.96862
0.09, -0.836051, -0.433787, 9.9603
0.1, -0.92129, -0.480015, 9.95099
0.11, -1.00505, -0.525857, 9.94071
0.12, -1.08733, -0.571313, 9.92945
0.13, -1.16816, -0.616385, 9.91722
0.14, -1.24755, -0.661075, 9.90402
0.15, -1.3255, -0.705386, 9.88984
0.16, -1.40202, -0.749317, 9.87469
0.17, -1.47714, -0.792872, 9.85858
0.18, -1.55085, -0.836051, 9.8415
0.19, -1.62317, -0.878857, 9.82345
0.2, -1.69411, -0.92129, 9.80444
0.21, -1.76368, -0.963353, 9.78446
0.22, -1.83188, -1.00505, 9.76353
0.23, -1.89873, -1.04637, 9.74164
0.24, -1.96424, -1.08733, 9.71879
0.25, -2.02841, -1.12793, 9.69499
0.26, -2.09126, -1.16816, 9.67024
0.27, -2.15279, -1.20804, 9.64454
0.28, -2.21301, -1.24755, 9.61789
0.29, -2.27192, -1.2867, 9.59029
0.3, -2.32954, -1.3255, 9.56176
0.31, -2.38587, -1.36394, 9.53229
0.32, -2.44093, -1.40202, 9.50188
0.33, -2.49471, -1.43976, 9.47053
0.34, -2.54722, -1.47714, 9.43826
0.35, -2.59847, -1.51417, 9.40506
0.36, -2.64847, -1.55085, 9.37093
0.37, -2.69723, -1.58718, 9.33589
0.38, -2.74474, -1.62317, 9.29992
0.39, -2.79102, -1.65881, 9.26305
0.4, -2.83607, -1.69411, 9.22526
0.41, -2.87989, -1.72906, 9.18656
0.42, -2.9225, -1.76368, 9.14695
0.43, -2.96389, -1.79795, 9.10645
0.44, -3.00408, -1.83188, 9.06505
0.45, -3.04306, -1.86548, 9.02276
0.46, -3.08084, -1.89873, 8.97957
0.47, -3.11743, -1.93166, 8.9355
0.48, -3.15283, -1.96424, 8.89055
0.49, -3.18704, -1.99649, 8.84472
0.5, -3.22007, -2.02841, 8.79802
0.51, -3.25193, -2.06, 8.75045
