0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.001, -1.65354e-07, -3.9084e-08, 1.01369e-07, -2.1713e-07, 3.97856e-06, -5.63727e-08, -7.85365e-06, -4.54817e-07, -5.28154e-08, 8.235e-06, -3.77819e-05, -3.80854e-06, 7.26282e-06, -1.82877e-06, 2.74925e-06, 6.58296e-06, 3.58265e-05, -5.99569e-05, 
0.002, -6.6146e-07, -1.17077e-07, 4.02253e-07, -6.82681e-07, 1.5914e-05, -2.70083e-07, -3.14276e-05, -1.44381e-06, -1.75337e-07, 3.29443e-05, -0.000151012, -1.57369e-05, 2.90804e-05, -5.49509e-06, 8.07656e-06, 2.63616e-05, 0.000143475, -0.000184272, 
0.003, -1.48819e-06, -2.33955e-07, 9.02515e-07, -1.39659e-06, 3.58053e-05, -6.41051e-07, -7.07179e-05, -2.96685e-06, -3.67448e-07, 7.41223e-05, -0.000339681, -3.57846e-05, 6.54492e-05, -1.09982e-05, 1.59797e-05, 5.93318e-05, 0.00032294, -0.000372926, 
0.004, -2.64533e-06, -3.89685e-07, 1.60193e-06, -2.35877e-06, 6.36508e-05, -1.16914e-06, -0.000125718, -5.02374e-06, -6.28956e-07, 0.00013176, -0.000603773, -6.39509e-05, 0.000116363, -1.8337e-05, 2.64553e-05, 0.000105487, 0.000574214, -0.000625888, 
0.005, -4.13258e-06, -5.84218e-07, 2.50019e-06, -3.56909e-06, 9.94479e-05, -1.85418e-06, -0.000196418, -7.61419e-06, -9.59589e-07, 0.000205845, -0.000943266, -0.000100235, 0.000181814, -2.75099e-05, 3.94981e-05, 0.000164817, 0.000897285, -0.000943116, 
0.006, -5.94957e-06, -8.17496e-07, 3.59689e-06, -5.02738e-06, 0.000143193, -2.69591e-06, -0.000282806, -1.07379e-05, -1.359e-06, 0.00029636, -0.00135813, -0.000144634, 0.000261791, -3.85151e-05, 5.51021e-05, 0.000237309, 0.00129214, -0.00132456, 
0.007, -8.09582e-06, -1.08945e-06, 4.89155e-06, -6.73344e-06, 0.000194884, -3.69405e-06, -0.000384868, -1.43944e-05, -1.82676e-06, 0.000403286, -0.00184834, -0.000197148, 0.000356281, -5.13503e-05, 7.32595e-05, 0.000322949, 0.00175875, -0.00177016, 
0.008, -1.05708e-05, -1.39999e-06, 6.38359e-06, -8.68703e-06, 0.000254514, -4.84826e-06, -0.000502585, -1.85833e-05, -2.36236e-06, 0.000526599, -0.00241383, -0.000257774, 0.000465268, -6.60129e-05, 9.39613e-05, 0.000421718, 0.00229711, -0.00227983, 
0.009, -1.33738e-05, -1.74904e-06, 8.07237e-06, -1.08879e-05, 0.00032208, -6.15814e-06, -0.000635939, -2.3304e-05, -2.96522e-06, 0.000666272, -0.00305458, -0.000326509, 0.000588734, -8.24997e-05, 0.000117197, 0.000533596, 0.00290717, -0.00285351, 
0.01, -1.65042e-05, -2.13647e-06, 9.95713e-06, -1.33357e-05, 0.000397574, -7.62323e-06, -0.000784905, -2.85558e-05, -3.63468e-06, 0.000822273, -0.00377053, -0.00040335, 0.00072666, -0.000100807, 0.000142955, 0.000658558, 0.00358892, -0.00349109, 
0.011, -1.99612e-05, -2.56218e-06, 1.2037e-05, -1.60301e-05, 0.000480991, -9.24305e-06, -0.000949459, -3.43382e-05, -4.36998e-06, 0.000994568, -0.00456161, -0.000488294, 0.000879022, -0.000120932, 0.000171223, 0.000796577, 0.00434231, -0.00419247, 
