2.79, -0.024604
2.8, 0.0606803
2.81, 0.146025
2.82, 0.231221
2.83, 0.31606
2.84, 0.400337
2.85, 0.483851
2.86, 0.56641
2.87, 0.647828
2.88, 0.72793
2.89, 0.806552
2.9, 0.883542
2.91, 0.958762
2.92, 1.03209
2.93, 1.1034
2.94, 1.17261
2.95, 1.23964
2.96, 1.3044
2.97, 1.36684
2.98, 1.42692
2.99, 1.48459
3, 1.53984
3.01, 1.59264
3.02, 1.64299
3.03, 1.6909
3.04, 1.73635
3.05, 1.77937
3.06, 1.81997
3.07, 1.85817
3.08, 1.894
3.09, 1.92747
3.1, 1.95862
3.11, 1.98747
3.12, 2.01405
3.13, 2.03838
3.14, 2.0605
3.15, 2.08043
3.16, 2.0982
3.17, 2.11383
3.18, 2.12733
3.19, 2.13874
3.2, 2.14807
3.21, 2.15532
3.22, 2.16053
3.23, 2.16368
3.24, 2.1648
3.25, 2.16389
3.26, 2.16094
3.27, 2.15596
3.28, 2.14894
3.29, 2.13988
3.3, 2.12876
3.31, 2.11557
3.32, 2.10031
3.33, 2.08295
3.34, 2.06347
3.35, 2.04186
3.36, 2.01808
3.37, 1.99212
3.38, 1.96394
3.39, 1.93353
3.4, 1.90086
3.41, 1.86589
3.42, 1.8286
3.43, 1.78896
3.44, 1.74695
3.45, 1.70255
3.46, 1.65574
3.47, 1.60649
3.48, 1.5548
3.49, 1.50065
3.5, 1.44406
3.51, 1.38502
3.52, 1.32354
3.53, 1.25966
3.54, 1.1934
3.55, 1.1248
3.56, 1.05392
3.57, 0.980835
3.58, 0.905614
3.59, 0.828355
3.6, 0.749166
3.61, 0.668169
3.62, 0.585503
3.63, 0.501317
3.64, 0.415776
3.65, 0.329057
3.66, 0.241347
3.67, 0.152844
3.68, 0.063755
3.69, -0.0257073
3.7, -0.115326
3.71, -0.204881
3.72, -0.294155
3.73, -0.382929
3.74, -0.470992
3.75, -0.558139
3.76, -0.644173
3.77, -0.728909
3.78, -0.812171
3.79, -0.8938
3.8, -0.973649
3.81, -1.05159
3.82, -1.1275
3.83, -1.20128
3.84, -1.27284
3.85, -1.34212
3.86, -1.40905
3.87, -1.47359
3.88, -1.53572
3.89, -1.5954
3.9, -1.65263
3.91, -1.70741
3.92, -1.75975
3.93, -1.80966
3.94, -1.85715
3.95, -1.90227
3.96, -1.94503
3.97, -1.98547
3.98, -2.02363
3.99, -2.05955
4, -2.09326
4.01, -2.1248
4.02, -2.15422
4.03, -2.18156
4.04, -2.20684
4.05, -2.23012
4.06, -2.25143
4.07, -2.27079
4.08, -2.28825
4.09, -2.30384
4.1, -2.31758
4.11, -2.32949
4.12, -2.33961
4.13, -2.34794
4.14, -2.35451
4.15, -2.35934
4.16, -2.36242
4.17, -2.36378
4.18, -2.36341
4.19, -2.36133
4.2, -2.35752
4.21, -2.35199
4.22, -2.34472
4.23, -2.33571
4.24, -2.32495
4.25, -2.31242
4.26, -2.2981
4.27, -2.28198
4.28, -2.26402
4.29, -2.2442
4.3, -2.2225
